,voltage,Cd_50_ppb_0,Cd_50_ppb_1,Cd_50_ppb_2,Cd_50_ppb_3,Cd_125_ppb_4,Cd_125_ppb_5,Cd_125_ppb_6,Cd_125_ppb_7,Cd_250_ppb_8,Cd_250_ppb_9,Cd_250_ppb_10,Cd_250_ppb_11,Cd_375_ppb_12,Cd_375_ppb_13,Cd_375_ppb_14,Cd_375_ppb_15,Cd_500_ppb_16,Cd_500_ppb_17,Cd_500_ppb_18,Cd_500_ppb_19,Cd_625_ppb_20,Cd_625_ppb_21,Cd_625_ppb_22,Cd_625_ppb_23,Cd_750_ppb_24,Cd_750_ppb_25,Cd_750_ppb_26,Cd_750_ppb_27,Cd_825_ppb_28,Cd_825_ppb_29,Cd_825_ppb_30,Cd_825_ppb_31,Cd_1000_ppb_32,Cd_1000_ppb_33,Cd_1000_ppb_34,Cd_1000_ppb_35
30,0.8799999999999999,-0.4963,-0.620375,-0.4963,-0.4963,-0.620375,-0.806488,-0.682413,-0.806488,-0.806488,-0.930563,-0.868525,-0.806488,-0.9926,-1.24075,-1.116675,-1.24075,-1.302788,-1.550938,-1.364825,-1.612975,-1.675013,-1.923163,-1.675013,-1.923163,-1.9852,-2.295388,-2.109275,-2.357425,-2.295388,-2.791688,-2.295388,-2.605575,-3.101875,-3.536138,-2.915763,-3.412063
31,0.8759999999999999,-0.4963,-0.620375,-0.4963,-0.620375,-0.620375,-0.682413,-0.74445,-0.806488,-0.868525,-0.930563,-0.930563,-0.806488,-1.054638,-1.24075,-1.116675,-1.24075,-1.302788,-1.4889,-1.426863,-1.550938,-1.73705,-1.923163,-1.675013,-1.9852,-2.047238,-2.295388,-2.047238,-2.295388,-2.357425,-2.72965,-2.295388,-2.667613,-3.101875,-3.536138,-2.915763,-3.350025
32,0.8719999999999999,-0.4963,-0.558338,-0.434263,-0.558338,-0.682413,-0.806488,-0.682413,-0.806488,-0.806488,-0.9926,-0.868525,-0.806488,-1.054638,-1.24075,-1.116675,-1.364825,-1.302788,-1.4889,-1.426863,-1.550938,-1.73705,-1.923163,-1.73705,-1.923163,-2.047238,-2.295388,-2.047238,-2.295388,-2.357425,-2.791688,-2.295388,-2.605575,-3.101875,-3.598175,-2.9778,-3.350025
33,0.8679999999999999,-0.434263,-0.4963,-0.4963,-0.4963,-0.682413,-0.74445,-0.682413,-0.806488,-0.868525,-1.054638,-0.930563,-0.806488,-1.116675,-1.24075,-1.116675,-1.24075,-1.302788,-1.4889,-1.426863,-1.550938,-1.73705,-1.923163,-1.73705,-1.923163,-2.047238,-2.295388,-2.109275,-2.357425,-2.295388,-2.791688,-2.295388,-2.667613,-3.163913,-3.536138,-2.9778,-3.412063
34,0.8639999999999999,-0.4963,-0.558338,-0.4963,-0.558338,-0.620375,-0.806488,-0.74445,-0.806488,-0.868525,-0.9926,-0.868525,-0.806488,-1.054638,-1.24075,-1.116675,-1.302788,-1.302788,-1.4889,-1.426863,-1.612975,-1.73705,-1.923163,-1.73705,-1.9852,-2.047238,-2.295388,-2.047238,-2.357425,-2.295388,-2.72965,-2.295388,-2.667613,-3.163913,-3.598175,-2.9778,-3.412063
35,0.8599999999999999,-0.4963,-0.620375,-0.434263,-0.558338,-0.682413,-0.74445,-0.74445,-0.868525,-0.868525,-0.9926,-0.930563,-0.868525,-1.116675,-1.178713,-1.116675,-1.364825,-1.364825,-1.4889,-1.426863,-1.612975,-1.675013,-1.923163,-1.73705,-1.923163,-2.109275,-2.357425,-2.109275,-2.357425,-2.357425,-2.72965,-2.295388,-2.72965,-3.101875,-3.536138,-2.915763,-3.412063
36,0.8559999999999999,-0.434263,-0.558338,-0.434263,-0.558338,-0.682413,-0.806488,-0.682413,-0.806488,-0.868525,-0.9926,-0.930563,-0.806488,-1.116675,-1.24075,-1.178713,-1.302788,-1.364825,-1.4889,-1.4889,-1.612975,-1.675013,-1.9852,-1.73705,-1.923163,-2.047238,-2.295388,-2.109275,-2.357425,-2.357425,-2.791688,-2.295388,-2.72965,-3.101875,-3.598175,-3.039838,-3.4741
37,0.8519999999999999,-0.4963,-0.620375,-0.4963,-0.558338,-0.682413,-0.806488,-0.682413,-0.868525,-0.868525,-0.9926,-0.930563,-0.868525,-1.054638,-1.24075,-1.116675,-1.302788,-1.302788,-1.550938,-1.426863,-1.612975,-1.675013,-1.923163,-1.73705,-1.9852,-2.109275,-2.295388,-2.109275,-2.357425,-2.357425,-2.791688,-2.357425,-2.667613,-3.163913,-3.598175,-2.9778,-3.412063
38,0.8479999999999999,-0.4963,-0.558338,-0.4963,-0.558338,-0.682413,-0.806488,-0.682413,-0.806488,-0.868525,-0.9926,-0.9926,-0.806488,-1.054638,-1.302788,-1.178713,-1.302788,-1.364825,-1.550938,-1.4889,-1.612975,-1.675013,-1.923163,-1.799088,-1.9852,-2.047238,-2.357425,-2.109275,-2.357425,-2.357425,-2.791688,-2.295388,-2.72965,-3.163913,-3.598175,-3.101875,-3.412063
39,0.8439999999999999,-0.4963,-0.620375,-0.434263,-0.558338,-0.682413,-0.74445,-0.74445,-0.868525,-0.868525,-0.9926,-0.868525,-0.868525,-1.054638,-1.24075,-1.178713,-1.364825,-1.364825,-1.550938,-1.4889,-1.612975,-1.73705,-1.9852,-1.799088,-1.9852,-2.109275,-2.357425,-2.109275,-2.419463,-2.357425,-2.853725,-2.295388,-2.667613,-3.163913,-3.598175,-2.9778,-3.412063
