,voltage,SW0_0,SW0_1,SW0_2,SW0_3,SW0_4,SW0_5,SW0_6,SW0_7,SW0_8,SW0_9,SW0_10,SW0_11,SW0_12,SW0_13,SW0_14,SW0_15,SW0_16,SW0_17,SW0_18,SW0_19,SW0_20,SW0_21,SW0_22,SW0_23,SW0_24,SW0_25,SW0_26,SW0_27,SW0_28,SW0_29,SW0_30,SW0_31,SW0_32,SW0_33,SW0_34,SW0_35,SW0_36,SW0_37,SW0_38,SW0_39,SW0_40,SW0_41,SW0_42,SW0_43,SW0_44,SW0_45,SW0_46,SW0_47,SW0_48,SW0_49,SW0_50,SW0_51,SW0_52,SW0_53,SW0_54,SW0_55,SW0_56,SW0_57,SW0_58,SW0_59,SW0_60,SW0_61,SW0_62,SW0_63,SW0_64,SW0_65,SW0_66,SW0_67,SW0_68,SW0_69,SW0_70,SW0_71,SW0_72,SW0_73,SW0_74,SW0_75,SW0_76,SW0_77,SW0_78,SW0_79
818,0.2680000000000011,1.655587,1.062075,1.2495,1.293232,1.293232,0.82467,1.168282,0.830917,2.07417,5.64774,5.928877,0.830917,0.968362,0.887145,1.012095,0.868525,0.9926,0.868525,1.116675,0.74445,0.868525,0.868525,0.930563,0.930563,0.868525,0.806488,1.178713,0.806488,0.9926,0.806488,0.868525,0.868525,1.116675,0.930563,1.178713,0.587265,0.243652,0.343612,0.620375,0.868525,1.911735,0.281137,0.74445,0.868525,0.682413,0.682413,0.620375,0.806488,0.806488,0.868525,0.806488,0.930563,0.620375,0.806488,0.868525,1.054638,0.806488,1.24075,0.806488,0.74445,0.737205,0.893392,1.861125,1.116675,0.930563,3.660213,1.24075,1.178713,0.806488,0.806488,0.9926,0.806488,0.806488,0.9926,0.868525,0.930563,0.868525,0.806488,0.837165,0.918382
819,0.27200000000000113,1.611855,0.993352,1.22451,1.330717,1.330717,0.830917,1.168282,0.837165,2.080417,5.666482,5.92263,0.77469,0.930877,0.87465,1.005847,0.868525,1.054638,0.930563,1.054638,0.74445,0.806488,0.868525,0.930563,0.9926,0.806488,0.868525,1.178713,0.806488,0.930563,0.806488,0.930563,0.868525,1.116675,0.930563,1.178713,0.587265,0.243652,0.34986,0.682413,0.868525,1.92423,0.281137,0.74445,0.868525,0.682413,0.620375,0.682413,0.806488,0.868525,0.868525,0.806488,0.9926,0.558338,0.74445,0.868525,1.054638,0.868525,1.178713,0.806488,0.806488,0.84966,0.943372,1.799088,1.116675,0.930563,3.598175,1.24075,1.116675,0.868525,0.806488,0.9926,0.868525,0.806488,0.930563,0.868525,0.930563,0.868525,0.806488,0.812175,0.97461
820,0.27600000000000113,1.643092,1.068322,1.2495,1.305727,1.305727,0.818422,1.168282,0.82467,2.080417,5.635245,5.935125,0.893392,0.987105,0.87465,1.012095,0.868525,1.054638,0.868525,0.9926,0.806488,0.806488,0.868525,0.868525,0.930563,0.868525,0.806488,1.24075,0.806488,0.930563,0.806488,0.930563,0.868525,1.116675,0.930563,1.178713,0.581017,0.237405,0.337365,0.682413,0.868525,1.911735,0.27489,0.74445,0.868525,0.682413,0.682413,0.620375,0.806488,0.868525,0.868525,0.806488,0.868525,0.620375,0.806488,0.868525,1.054638,0.868525,1.178713,0.806488,0.74445,0.737205,0.868402,1.861125,1.116675,0.9926,3.660213,1.24075,1.116675,0.74445,0.868525,0.9926,0.806488,0.806488,0.9926,0.868525,0.930563,0.868525,0.806488,0.82467,0.905887
821,0.28000000000000114,1.605607,0.993352,1.218262,1.330717,1.330717,0.82467,1.162035,0.830917,2.07417,5.660235,5.928877,0.805927,0.92463,0.87465,1.012095,0.868525,0.9926,0.930563,1.116675,0.806488,0.806488,0.868525,0.930563,1.054638,0.868525,0.868525,1.24075,0.806488,0.9926,0.74445,0.868525,0.868525,1.116675,0.930563,1.178713,0.57477,0.237405,0.34986,0.620375,0.868525,1.92423,0.287385,0.74445,0.868525,0.620375,0.620375,0.620375,0.806488,0.806488,0.868525,0.806488,0.868525,0.620375,0.74445,0.806488,1.054638,0.868525,1.178713,0.806488,0.74445,0.79968,0.92463,1.861125,1.116675,0.9926,3.660213,1.178713,1.178713,0.806488,0.806488,0.930563,0.868525,0.868525,0.9926,0.868525,0.930563,0.806488,0.806488,0.805927,1.02459
822,0.28400000000000114,1.62435,1.062075,1.237005,1.305727,1.305727,0.818422,1.162035,0.82467,2.07417,5.635245,5.928877,0.855907,0.993352,0.880897,1.005847,0.868525,0.9926,0.930563,1.054638,0.74445,0.868525,0.930563,0.930563,0.9926,0.868525,0.806488,1.178713,0.806488,0.930563,0.74445,0.930563,0.868525,1.116675,0.930563,1.178713,0.581017,0.243652,0.331117,0.682413,0.868525,1.911735,0.281137,0.806488,0.868525,0.682413,0.682413,0.620375,0.806488,0.930563,0.868525,0.74445,0.9926,0.620375,0.74445,0.930563,1.054638,0.868525,1.178713,0.806488,0.806488,0.743452,0.855907,1.861125,1.116675,0.9926,3.660213,1.302788,1.116675,0.74445,0.868525,0.9926,0.930563,0.74445,0.9926,0.868525,0.930563,0.868525,0.806488,0.82467,0.92463
823,0.28800000000000114,1.605607,0.993352,1.230757,1.32447,1.32447,0.82467,1.155787,0.82467,2.07417,5.628997,5.928877,0.762195,0.930877,0.887145,1.005847,0.868525,0.9926,0.930563,1.054638,0.74445,0.806488,0.930563,0.930563,0.930563,0.868525,0.806488,1.24075,0.806488,0.9926,0.806488,0.930563,0.930563,1.054638,0.9926,1.24075,0.581017,0.243652,0.34986,0.682413,0.806488,1.92423,0.287385,0.74445,0.868525,0.682413,0.682413,0.620375,0.806488,0.868525,0.868525,0.806488,0.930563,0.620375,0.74445,0.806488,1.054638,0.868525,1.178713,0.806488,0.74445,0.818422,0.92463,1.799088,1.116675,0.9926,3.660213,1.24075,1.116675,0.74445,0.806488,0.930563,0.930563,0.806488,0.9926,0.868525,0.930563,0.868525,0.868525,0.818422,1.005847
824,0.29200000000000115,1.636845,1.062075,1.237005,1.305727,1.305727,0.818422,1.155787,0.82467,2.067922,5.635245,5.92263,0.862155,0.993352,0.887145,1.012095,0.868525,1.054638,0.930563,1.116675,0.74445,0.868525,0.930563,0.930563,0.930563,0.868525,0.868525,1.178713,0.806488,0.9926,0.74445,0.930563,0.868525,1.054638,0.930563,1.116675,0.581017,0.237405,0.343612,0.682413,0.868525,1.917982,0.281137,0.806488,0.868525,0.682413,0.74445,0.682413,0.806488,0.868525,0.868525,0.806488,0.930563,0.620375,0.806488,0.868525,1.054638,0.868525,1.178713,0.806488,0.806488,0.743452,0.84966,1.861125,1.116675,0.930563,3.598175,1.24075,1.116675,0.806488,0.806488,0.9926,0.868525,0.74445,0.9926,0.868525,0.930563,0.868525,0.868525,0.793432,0.880897
825,0.29600000000000115,1.605607,0.987105,1.22451,1.32447,1.32447,0.82467,1.168282,0.82467,2.07417,5.635245,5.928877,0.793432,0.930877,0.880897,1.005847,0.806488,0.9926,0.930563,1.054638,0.806488,0.868525,0.868525,0.930563,0.9926,0.806488,0.868525,1.178713,0.806488,0.930563,0.806488,0.930563,0.868525,1.116675,0.930563,1.178713,0.57477,0.243652,0.343612,0.620375,0.868525,1.92423,0.293632,0.806488,0.930563,0.682413,0.620375,0.620375,0.806488,0.868525,0.806488,0.806488,0.930563,0.620375,0.806488,0.806488,1.116675,0.868525,1.178713,0.806488,0.806488,0.837165,0.937125,1.861125,1.054638,0.930563,3.660213,1.24075,1.116675,0.806488,0.806488,0.9926,0.806488,0.806488,0.930563,0.868525,0.930563,0.806488,0.868525,0.82467,0.97461
826,0.30000000000000115,1.636845,1.07457,1.230757,1.29948,1.29948,0.82467,1.155787,0.830917,2.07417,5.62275,5.92263,0.887145,0.980857,0.87465,1.012095,0.806488,1.054638,0.868525,1.054638,0.74445,0.868525,0.868525,0.930563,0.9926,0.806488,0.868525,1.178713,0.806488,0.930563,0.74445,0.868525,0.868525,1.116675,0.930563,1.178713,0.581017,0.243652,0.337365,0.682413,0.806488,1.917982,0.281137,0.806488,0.806488,0.620375,0.682413,0.620375,0.868525,0.806488,0.868525,0.806488,0.868525,0.620375,0.74445,0.806488,1.054638,0.868525,1.178713,0.868525,0.74445,0.72471,0.905887,1.861125,1.116675,0.9926,3.72225,1.24075,1.116675,0.74445,0.806488,0.9926,0.868525,0.74445,0.930563,0.868525,0.930563,0.868525,0.868525,0.805927,0.930877
827,0.30400000000000116,1.605607,0.987105,1.237005,1.318222,1.318222,0.818422,1.162035,0.82467,2.067922,5.628997,5.92263,0.780937,0.92463,0.880897,1.012095,0.868525,1.054638,0.930563,1.054638,0.74445,0.868525,0.868525,0.868525,0.9926,0.868525,0.74445,1.24075,0.806488,0.930563,0.74445,0.868525,0.868525,1.054638,0.9926,1.116675,0.57477,0.237405,0.34986,0.682413,0.868525,1.930477,0.293632,0.806488,0.868525,0.682413,0.620375,0.620375,0.806488,0.806488,0.806488,0.806488,0.930563,0.620375,0.74445,0.930563,0.9926,0.868525,1.178713,0.806488,0.74445,0.793432,0.94962,1.799088,1.116675,0.930563,3.660213,1.178713,1.116675,0.806488,0.806488,0.930563,0.806488,0.806488,0.930563,0.868525,0.930563,0.868525,0.868525,0.818422,0.94962
