,voltage,Cu_500_ppb_0,Cu_500_ppb_1,Cu_500_ppb_2,Cu_500_ppb_3,Cu_500_ppb_4,Cu_500_ppb_5,Cu_500_ppb_6,Cu_500_ppb_7,Cu_1000_ppb_8,Cu_1000_ppb_9,Cu_1000_ppb_10,Cu_1000_ppb_11,Cu_1000_ppb_12,Cu_1000_ppb_13,Cu_1000_ppb_14,Cu_2000_ppb_15,Cu_2000_ppb_16,Cu_2000_ppb_17,Cu_2000_ppb_18,Cu_2000_ppb_19,Cu_2000_ppb_20,Cu_3000_ppb_21,Cu_3000_ppb_22
532,-0.8759999999999999,9.739888,2.9778,2.357425,2.357425,3.163913,3.287988,3.412063,3.536138,2.853725,2.853725,3.784288,3.9704,3.784288,3.101875,3.350025,3.4741,3.536138,3.101875,2.9778,4.032438,3.22595,3.784288,3.908363
533,-0.8719999999999999,9.739888,3.101875,2.357425,2.23335,3.101875,3.287988,3.287988,3.536138,2.791688,2.853725,3.784288,3.908363,3.784288,3.039838,3.350025,3.412063,3.536138,3.039838,2.9778,4.032438,3.22595,3.784288,3.908363
534,-0.8679999999999999,9.67785,2.915763,2.295388,2.23335,3.163913,3.287988,3.287988,3.412063,2.853725,2.853725,3.72225,3.908363,3.72225,3.039838,3.287988,3.4741,3.536138,3.039838,2.9778,4.032438,3.22595,3.72225,3.908363
535,-0.8639999999999999,9.67785,2.915763,2.295388,2.23335,3.101875,3.287988,3.287988,3.4741,2.791688,2.853725,3.72225,3.846325,3.660213,2.9778,3.350025,3.350025,3.536138,2.9778,2.9778,3.9704,3.22595,3.660213,3.908363
536,-0.8599999999999999,9.615813,2.915763,2.295388,2.295388,3.101875,3.287988,3.22595,3.412063,2.791688,2.853725,3.72225,3.784288,3.660213,2.9778,3.287988,3.4741,3.4741,2.9778,2.9778,3.908363,3.22595,3.660213,3.908363
537,-0.8559999999999999,9.739888,2.915763,2.295388,2.171313,3.101875,3.22595,3.163913,3.287988,2.791688,2.791688,3.72225,3.784288,3.660213,2.9778,3.287988,3.350025,3.536138,2.915763,2.9778,3.908363,3.22595,3.660213,3.908363
538,-0.8519999999999999,9.67785,2.853725,2.295388,2.171313,3.039838,3.163913,3.163913,3.287988,2.791688,2.853725,3.660213,3.72225,3.598175,2.9778,3.287988,3.412063,3.536138,2.9778,2.9778,3.908363,3.22595,3.598175,3.908363
539,-0.8479999999999999,9.615813,2.915763,2.295388,2.23335,3.039838,3.163913,3.039838,3.287988,2.791688,2.853725,3.660213,3.72225,3.598175,2.9778,3.22595,3.412063,3.4741,2.9778,2.915763,3.846325,3.22595,3.598175,3.908363
540,-0.8439999999999999,9.67785,2.853725,2.295388,2.23335,2.9778,3.163913,3.101875,3.287988,2.791688,2.853725,3.660213,3.660213,3.598175,2.9778,3.287988,3.412063,3.536138,2.9778,2.9778,3.846325,3.22595,3.598175,3.908363
541,-0.8399999999999999,9.739888,2.853725,2.23335,2.171313,2.9778,3.101875,3.039838,3.163913,2.791688,2.853725,3.660213,3.598175,3.536138,2.915763,3.22595,3.350025,3.4741,2.915763,2.9778,3.784288,3.22595,3.536138,3.908363
542,-0.8359999999999999,9.615813,2.853725,2.295388,2.171313,2.915763,3.163913,2.9778,3.22595,2.791688,2.791688,3.598175,3.598175,3.536138,2.9778,3.22595,3.350025,3.536138,2.915763,2.9778,3.72225,3.22595,3.536138,3.908363
543,-0.8319999999999999,9.615813,2.853725,2.23335,2.171313,2.915763,3.101875,2.9778,3.163913,2.791688,2.791688,3.598175,3.536138,3.4741,2.915763,3.163913,3.287988,3.4741,2.915763,2.915763,3.72225,3.163913,3.4741,3.908363
544,-0.8279999999999998,9.553775,2.853725,2.171313,2.109275,2.853725,3.101875,2.915763,3.163913,2.72965,2.791688,3.598175,3.4741,3.4741,2.915763,3.22595,3.287988,3.4741,2.915763,3.039838,3.660213,3.22595,3.4741,3.846325
545,-0.8239999999999998,9.553775,2.791688,2.171313,2.109275,2.853725,3.039838,2.853725,3.039838,2.72965,2.791688,3.598175,3.412063,3.412063,2.791688,3.163913,3.287988,3.412063,2.853725,2.915763,3.72225,3.22595,3.412063,3.908363
546,-0.8199999999999998,9.553775,2.791688,2.171313,2.171313,2.791688,3.039838,2.791688,3.039838,2.72965,2.791688,3.536138,3.350025,3.412063,2.791688,3.163913,3.287988,3.536138,2.915763,2.915763,3.660213,3.22595,3.412063,3.908363
547,-0.8159999999999998,9.553775,2.791688,2.109275,2.171313,2.791688,2.9778,2.791688,2.9778,2.72965,2.791688,3.536138,3.350025,3.350025,2.853725,3.163913,3.22595,3.412063,2.915763,2.915763,3.660213,3.163913,3.350025,3.908363
548,-0.8119999999999998,9.615813,2.791688,2.109275,2.109275,2.72965,2.9778,2.72965,2.915763,2.667613,2.791688,3.536138,3.350025,3.350025,2.791688,3.101875,3.287988,3.4741,2.853725,2.915763,3.598175,3.163913,3.350025,3.846325
549,-0.8079999999999998,9.4297,2.791688,2.109275,2.109275,2.72965,2.9778,2.72965,2.915763,2.72965,2.72965,3.536138,3.287988,3.287988,2.72965,3.101875,3.22595,3.412063,2.853725,2.853725,3.536138,3.163913,3.287988,3.846325
550,-0.8039999999999998,9.4297,2.791688,2.109275,2.047238,2.667613,2.915763,2.667613,2.853725,2.667613,2.667613,3.536138,3.22595,3.22595,2.791688,3.101875,3.287988,3.4741,2.853725,2.853725,3.4741,3.163913,3.22595,3.846325
551,-0.7999999999999998,9.367663,2.791688,2.047238,2.109275,2.667613,2.9778,2.667613,2.853725,2.667613,2.667613,3.4741,3.163913,3.287988,2.791688,3.101875,3.163913,3.412063,2.791688,2.853725,3.536138,3.163913,3.287988,3.846325
552,-0.7959999999999998,9.491738,2.72965,1.9852,2.047238,2.667613,2.915763,2.605575,2.791688,2.605575,2.667613,3.4741,3.163913,3.163913,2.72965,3.101875,3.22595,3.4741,2.853725,2.915763,3.4741,3.163913,3.163913,3.846325
553,-0.7919999999999998,9.305625,2.72965,2.047238,2.109275,2.605575,2.853725,2.4815,2.72965,2.605575,2.72965,3.4741,3.101875,3.163913,2.72965,3.039838,3.163913,3.350025,2.853725,2.791688,3.412063,3.163913,3.163913,3.846325
554,-0.7879999999999998,9.243588,2.667613,2.047238,2.047238,2.605575,2.791688,2.4815,2.72965,2.605575,2.667613,3.412063,3.039838,3.101875,2.667613,3.039838,3.163913,3.412063,2.72965,2.853725,3.412063,3.163913,3.101875,3.784288
555,-0.7839999999999998,9.18155,2.72965,1.9852,2.109275,2.605575,2.72965,2.4815,2.72965,2.543538,2.667613,3.412063,2.9778,3.039838,2.72965,3.039838,3.163913,3.412063,2.791688,2.791688,3.350025,3.163913,3.039838,3.784288
556,-0.7799999999999998,9.18155,2.667613,1.9852,2.047238,2.543538,2.72965,2.419463,2.667613,2.543538,2.605575,3.350025,2.9778,3.039838,2.667613,2.9778,3.163913,3.350025,2.667613,2.791688,3.287988,3.101875,3.039838,3.784288
557,-0.7759999999999998,9.119513,2.605575,1.9852,2.047238,2.543538,2.72965,2.419463,2.605575,2.543538,2.605575,3.287988,2.9778,2.9778,2.667613,2.9778,3.163913,3.350025,2.72965,2.791688,3.22595,3.163913,2.9778,3.784288
558,-0.7719999999999998,9.119513,2.605575,1.923163,1.9852,2.4815,2.667613,2.357425,2.605575,2.543538,2.605575,3.287988,2.915763,2.9778,2.667613,2.9778,3.101875,3.350025,2.605575,2.72965,3.22595,3.101875,2.9778,3.784288
